image,class
v_HammerThrow_g13_c07.avi_frame6.jpg,HammerThrow
v_BrushingTeeth_g25_c05.avi_frame4.jpg,BrushingTeeth
v_Haircut_g10_c04.avi_frame1.jpg,Haircut
v_HorseRiding_g24_c02.avi_frame0.jpg,HorseRiding
v_Nunchucks_g18_c03.avi_frame9.jpg,Nunchucks
v_Nunchucks_g17_c02.avi_frame4.jpg,Nunchucks
v_SoccerJuggling_g11_c02.avi_frame10.jpg,SoccerJuggling
v_JumpRope_g22_c05.avi_frame4.jpg,JumpRope
v_HighJump_g21_c02.avi_frame2.jpg,HighJump
v_Biking_g22_c03.avi_frame9.jpg,Biking
v_SoccerJuggling_g24_c06.avi_frame6.jpg,SoccerJuggling
v_TrampolineJumping_g23_c04.avi_frame1.jpg,TrampolineJumping
v_JumpRope_g20_c02.avi_frame8.jpg,JumpRope
v_PlayingViolin_g12_c01.avi_frame4.jpg,PlayingViolin
v_PlayingCello_g19_c07.avi_frame5.jpg,PlayingCello
v_HandstandWalking_g23_c02.avi_frame6.jpg,HandstandWalking
v_Fencing_g18_c02.avi_frame3.jpg,Fencing
v_WalkingWithDog_g10_c05.avi_frame5.jpg,WalkingWithDog
v_PlayingSitar_g13_c04.avi_frame0.jpg,PlayingSitar
v_CliffDiving_g13_c02.avi_frame0.jpg,CliffDiving
v_PlayingCello_g08_c01.avi_frame2.jpg,PlayingCello
v_StillRings_g25_c06.avi_frame5.jpg,StillRings
v_PlayingPiano_g17_c04.avi_frame7.jpg,PlayingPiano
v_Diving_g14_c04.avi_frame5.jpg,Diving
v_CricketShot_g25_c02.avi_frame1.jpg,CricketShot
v_HandstandWalking_g10_c04.avi_frame0.jpg,HandstandWalking
v_Typing_g14_c04.avi_frame2.jpg,Typing
v_RockClimbingIndoor_g12_c01.avi_frame13.jpg,RockClimbingIndoor
v_SumoWrestling_g19_c03.avi_frame1.jpg,SumoWrestling
v_TaiChi_g21_c04.avi_frame0.jpg,TaiChi
v_FrisbeeCatch_g20_c01.avi_frame1.jpg,FrisbeeCatch
v_Punch_g18_c03.avi_frame11.jpg,Punch
v_SalsaSpin_g24_c02.avi_frame1.jpg,SalsaSpin
v_PlayingFlute_g08_c07.avi_frame1.jpg,PlayingFlute
v_Punch_g15_c01.avi_frame10.jpg,Punch
v_TaiChi_g24_c01.avi_frame0.jpg,TaiChi
v_Billiards_g08_c04.avi_frame4.jpg,Billiards
v_TaiChi_g21_c04.avi_frame1.jpg,TaiChi
v_HorseRace_g25_c01.avi_frame0.jpg,HorseRace
v_PlayingFlute_g18_c05.avi_frame5.jpg,PlayingFlute
v_BandMarching_g15_c03.avi_frame10.jpg,BandMarching
v_Drumming_g21_c02.avi_frame6.jpg,Drumming
v_RockClimbingIndoor_g21_c05.avi_frame7.jpg,RockClimbingIndoor
v_Drumming_g24_c02.avi_frame9.jpg,Drumming
v_PlayingDhol_g23_c02.avi_frame6.jpg,PlayingDhol
v_Diving_g13_c07.avi_frame2.jpg,Diving
v_Lunges_g22_c02.avi_frame5.jpg,Lunges
v_RopeClimbing_g10_c03.avi_frame0.jpg,RopeClimbing
v_SumoWrestling_g23_c03.avi_frame4.jpg,SumoWrestling
v_ShavingBeard_g22_c01.avi_frame4.jpg,ShavingBeard
v_BoxingSpeedBag_g17_c05.avi_frame6.jpg,BoxingSpeedBag
v_PlayingDaf_g22_c06.avi_frame5.jpg,PlayingDaf
v_BreastStroke_g22_c04.avi_frame1.jpg,BreastStroke
v_FieldHockeyPenalty_g09_c02.avi_frame2.jpg,FieldHockeyPenalty
v_BlowDryHair_g08_c06.avi_frame0.jpg,BlowDryHair
v_PlayingTabla_g11_c04.avi_frame2.jpg,PlayingTabla
v_BoxingSpeedBag_g11_c03.avi_frame2.jpg,BoxingSpeedBag
v_PlayingDaf_g21_c04.avi_frame1.jpg,PlayingDaf
v_PlayingGuitar_g08_c02.avi_frame9.jpg,PlayingGuitar
v_StillRings_g10_c06.avi_frame6.jpg,StillRings
v_JavelinThrow_g23_c01.avi_frame0.jpg,JavelinThrow
v_LongJump_g12_c04.avi_frame0.jpg,LongJump
v_Swing_g24_c01.avi_frame5.jpg,Swing
v_BlowDryHair_g12_c03.avi_frame2.jpg,BlowDryHair
v_Billiards_g15_c07.avi_frame5.jpg,Billiards
v_HammerThrow_g23_c05.avi_frame5.jpg,HammerThrow
v_TableTennisShot_g21_c01.avi_frame0.jpg,TableTennisShot
v_HeadMassage_g19_c05.avi_frame1.jpg,HeadMassage
v_PlayingGuitar_g16_c02.avi_frame8.jpg,PlayingGuitar
v_PommelHorse_g20_c05.avi_frame7.jpg,PommelHorse
v_WalkingWithDog_g21_c03.avi_frame1.jpg,WalkingWithDog
v_FrontCrawl_g24_c03.avi_frame6.jpg,FrontCrawl
v_SoccerJuggling_g21_c04.avi_frame3.jpg,SoccerJuggling
v_Swing_g13_c02.avi_frame3.jpg,Swing
v_ApplyEyeMakeup_g15_c02.avi_frame4.jpg,ApplyEyeMakeup
v_Rowing_g25_c02.avi_frame5.jpg,Rowing
v_Basketball_g15_c03.avi_frame1.jpg,Basketball
v_JumpingJack_g12_c01.avi_frame2.jpg,JumpingJack
v_WalkingWithDog_g08_c03.avi_frame1.jpg,WalkingWithDog
v_HorseRace_g19_c02.avi_frame5.jpg,HorseRace
v_JumpRope_g21_c01.avi_frame16.jpg,JumpRope
v_WalkingWithDog_g12_c04.avi_frame5.jpg,WalkingWithDog
v_JumpRope_g23_c02.avi_frame9.jpg,JumpRope
v_Diving_g23_c06.avi_frame1.jpg,Diving
v_JumpingJack_g17_c01.avi_frame2.jpg,JumpingJack
v_Knitting_g11_c01.avi_frame1.jpg,Knitting
v_FloorGymnastics_g22_c01.avi_frame3.jpg,FloorGymnastics
v_RopeClimbing_g14_c02.avi_frame3.jpg,RopeClimbing
v_PlayingTabla_g25_c03.avi_frame12.jpg,PlayingTabla
v_Rowing_g24_c05.avi_frame3.jpg,Rowing
v_WallPushups_g24_c01.avi_frame0.jpg,WallPushups
v_HorseRace_g11_c07.avi_frame12.jpg,HorseRace
v_ApplyLipstick_g09_c04.avi_frame4.jpg,ApplyLipstick
v_Basketball_g19_c03.avi_frame0.jpg,Basketball
v_PlayingTabla_g08_c03.avi_frame10.jpg,PlayingTabla
v_PoleVault_g24_c07.avi_frame0.jpg,PoleVault
v_CliffDiving_g10_c01.avi_frame1.jpg,CliffDiving
v_IceDancing_g20_c05.avi_frame10.jpg,IceDancing
v_PlayingDaf_g20_c02.avi_frame7.jpg,PlayingDaf
v_SalsaSpin_g14_c04.avi_frame3.jpg,SalsaSpin
v_WalkingWithDog_g19_c05.avi_frame3.jpg,WalkingWithDog
v_PlayingSitar_g08_c01.avi_frame14.jpg,PlayingSitar
v_Typing_g10_c06.avi_frame1.jpg,Typing
v_WalkingWithDog_g23_c04.avi_frame4.jpg,WalkingWithDog
v_HandstandWalking_g10_c02.avi_frame3.jpg,HandstandWalking
v_PlayingDhol_g11_c02.avi_frame4.jpg,PlayingDhol
v_PlayingFlute_g19_c03.avi_frame10.jpg,PlayingFlute
v_WalkingWithDog_g12_c01.avi_frame2.jpg,WalkingWithDog
v_IceDancing_g25_c07.avi_frame6.jpg,IceDancing
v_ShavingBeard_g20_c06.avi_frame8.jpg,ShavingBeard
v_Lunges_g10_c05.avi_frame7.jpg,Lunges
v_ApplyLipstick_g13_c04.avi_frame4.jpg,ApplyLipstick
v_ParallelBars_g11_c04.avi_frame0.jpg,ParallelBars
v_UnevenBars_g24_c04.avi_frame3.jpg,UnevenBars
v_PlayingCello_g18_c07.avi_frame5.jpg,PlayingCello
v_Rafting_g17_c04.avi_frame6.jpg,Rafting
v_PlayingDaf_g10_c01.avi_frame4.jpg,PlayingDaf
v_Skijet_g09_c03.avi_frame5.jpg,Skijet
v_Nunchucks_g16_c02.avi_frame0.jpg,Nunchucks
v_Haircut_g20_c05.avi_frame1.jpg,Haircut
v_Lunges_g19_c07.avi_frame7.jpg,Lunges
v_TableTennisShot_g08_c02.avi_frame0.jpg,TableTennisShot
v_Nunchucks_g11_c04.avi_frame3.jpg,Nunchucks
v_MilitaryParade_g15_c03.avi_frame1.jpg,MilitaryParade
v_Mixing_g23_c02.avi_frame0.jpg,Mixing
v_PlayingFlute_g15_c03.avi_frame1.jpg,PlayingFlute
v_RockClimbingIndoor_g21_c05.avi_frame14.jpg,RockClimbingIndoor
v_SoccerJuggling_g19_c07.avi_frame9.jpg,SoccerJuggling
v_IceDancing_g10_c07.avi_frame10.jpg,IceDancing
v_Typing_g22_c03.avi_frame1.jpg,Typing
v_BabyCrawling_g14_c04.avi_frame5.jpg,BabyCrawling
v_PlayingSitar_g08_c01.avi_frame13.jpg,PlayingSitar
v_ShavingBeard_g19_c06.avi_frame4.jpg,ShavingBeard
v_HandStandPushups_g15_c03.avi_frame1.jpg,HandStandPushups
v_WallPushups_g23_c01.avi_frame3.jpg,WallPushups
v_TennisSwing_g25_c06.avi_frame9.jpg,TennisSwing
v_WallPushups_g25_c04.avi_frame5.jpg,WallPushups
v_CliffDiving_g25_c01.avi_frame0.jpg,CliffDiving
v_Punch_g18_c02.avi_frame11.jpg,Punch
v_TrampolineJumping_g18_c03.avi_frame5.jpg,TrampolineJumping
v_BalanceBeam_g09_c04.avi_frame4.jpg,BalanceBeam
v_Fencing_g08_c01.avi_frame2.jpg,Fencing
v_Rowing_g15_c02.avi_frame18.jpg,Rowing
v_CuttingInKitchen_g18_c04.avi_frame4.jpg,CuttingInKitchen
v_Rafting_g13_c03.avi_frame3.jpg,Rafting
v_JumpingJack_g12_c03.avi_frame3.jpg,JumpingJack
v_Basketball_g25_c06.avi_frame3.jpg,Basketball
v_PlayingPiano_g15_c03.avi_frame7.jpg,PlayingPiano
v_Biking_g18_c02.avi_frame3.jpg,Biking
v_Biking_g08_c03.avi_frame6.jpg,Biking
v_FrisbeeCatch_g19_c05.avi_frame3.jpg,FrisbeeCatch
v_BreastStroke_g12_c01.avi_frame5.jpg,BreastStroke
v_JugglingBalls_g24_c02.avi_frame3.jpg,JugglingBalls
v_ApplyLipstick_g12_c04.avi_frame4.jpg,ApplyLipstick
v_ThrowDiscus_g18_c04.avi_frame3.jpg,ThrowDiscus
v_CricketShot_g11_c02.avi_frame2.jpg,CricketShot
v_WritingOnBoard_g25_c07.avi_frame1.jpg,WritingOnBoard
v_HandStandPushups_g10_c04.avi_frame5.jpg,HandStandPushups
v_RopeClimbing_g10_c05.avi_frame6.jpg,RopeClimbing
v_Bowling_g20_c04.avi_frame4.jpg,Bowling
v_Nunchucks_g23_c04.avi_frame7.jpg,Nunchucks
v_PlayingSitar_g13_c01.avi_frame9.jpg,PlayingSitar
v_Hammering_g24_c03.avi_frame2.jpg,Hammering
v_SkateBoarding_g17_c02.avi_frame3.jpg,SkateBoarding
v_HorseRace_g13_c01.avi_frame3.jpg,HorseRace
v_ParallelBars_g18_c01.avi_frame0.jpg,ParallelBars
v_HorseRiding_g16_c02.avi_frame2.jpg,HorseRiding
v_StillRings_g08_c04.avi_frame1.jpg,StillRings
v_HammerThrow_g08_c03.avi_frame2.jpg,HammerThrow
v_PlayingTabla_g09_c04.avi_frame8.jpg,PlayingTabla
v_ApplyEyeMakeup_g23_c01.avi_frame4.jpg,ApplyEyeMakeup
v_HorseRace_g11_c04.avi_frame5.jpg,HorseRace
v_IceDancing_g22_c05.avi_frame6.jpg,IceDancing
v_Lunges_g14_c05.avi_frame7.jpg,Lunges
v_PlayingGuitar_g24_c02.avi_frame4.jpg,PlayingGuitar
v_BrushingTeeth_g19_c04.avi_frame23.jpg,BrushingTeeth
v_JumpRope_g20_c01.avi_frame2.jpg,JumpRope
v_HorseRace_g12_c03.avi_frame7.jpg,HorseRace
v_Drumming_g13_c02.avi_frame7.jpg,Drumming
v_PlayingDhol_g11_c07.avi_frame9.jpg,PlayingDhol
v_Punch_g08_c04.avi_frame0.jpg,Punch
v_PlayingCello_g19_c01.avi_frame3.jpg,PlayingCello
v_Typing_g24_c03.avi_frame5.jpg,Typing
v_Bowling_g20_c03.avi_frame4.jpg,Bowling
v_PlayingDaf_g10_c04.avi_frame0.jpg,PlayingDaf
v_PlayingFlute_g16_c05.avi_frame4.jpg,PlayingFlute
v_FrisbeeCatch_g21_c04.avi_frame1.jpg,FrisbeeCatch
v_Shotput_g25_c01.avi_frame0.jpg,Shotput
v_ThrowDiscus_g13_c05.avi_frame3.jpg,ThrowDiscus
v_ShavingBeard_g15_c02.avi_frame3.jpg,ShavingBeard
v_PlayingGuitar_g25_c01.avi_frame0.jpg,PlayingGuitar
v_SoccerJuggling_g12_c06.avi_frame7.jpg,SoccerJuggling
v_LongJump_g08_c01.avi_frame0.jpg,LongJump
v_BlowingCandles_g13_c04.avi_frame4.jpg,BlowingCandles
v_PlayingGuitar_g11_c03.avi_frame5.jpg,PlayingGuitar
v_HeadMassage_g22_c07.avi_frame2.jpg,HeadMassage
v_HulaHoop_g09_c04.avi_frame0.jpg,HulaHoop
v_HulaHoop_g15_c02.avi_frame1.jpg,HulaHoop
v_PlayingDaf_g14_c05.avi_frame10.jpg,PlayingDaf
v_PlayingPiano_g24_c01.avi_frame1.jpg,PlayingPiano
v_GolfSwing_g08_c03.avi_frame0.jpg,GolfSwing
v_TaiChi_g08_c02.avi_frame2.jpg,TaiChi
v_SkateBoarding_g09_c01.avi_frame3.jpg,SkateBoarding
v_PlayingSitar_g24_c03.avi_frame3.jpg,PlayingSitar
v_PlayingDaf_g08_c03.avi_frame11.jpg,PlayingDaf
v_PlayingDaf_g25_c02.avi_frame8.jpg,PlayingDaf
v_BodyWeightSquats_g17_c04.avi_frame1.jpg,BodyWeightSquats
v_SoccerJuggling_g16_c07.avi_frame7.jpg,SoccerJuggling
v_Skijet_g16_c01.avi_frame6.jpg,Skijet
v_Bowling_g20_c01.avi_frame0.jpg,Bowling
v_ApplyLipstick_g20_c03.avi_frame4.jpg,ApplyLipstick
v_Billiards_g08_c02.avi_frame3.jpg,Billiards
v_JugglingBalls_g25_c03.avi_frame4.jpg,JugglingBalls
v_SoccerPenalty_g20_c02.avi_frame0.jpg,SoccerPenalty
v_MoppingFloor_g23_c04.avi_frame10.jpg,MoppingFloor
v_JumpRope_g16_c05.avi_frame4.jpg,JumpRope
v_PlayingDhol_g08_c05.avi_frame6.jpg,PlayingDhol
v_ShavingBeard_g19_c05.avi_frame6.jpg,ShavingBeard
v_MoppingFloor_g24_c03.avi_frame11.jpg,MoppingFloor
v_CleanAndJerk_g23_c04.avi_frame0.jpg,CleanAndJerk
v_FieldHockeyPenalty_g10_c01.avi_frame0.jpg,FieldHockeyPenalty
v_CuttingInKitchen_g24_c01.avi_frame5.jpg,CuttingInKitchen
v_Punch_g12_c03.avi_frame4.jpg,Punch
v_Drumming_g12_c04.avi_frame4.jpg,Drumming
v_HandStandPushups_g22_c04.avi_frame3.jpg,HandStandPushups
v_BaseballPitch_g15_c07.avi_frame2.jpg,BaseballPitch
v_RopeClimbing_g21_c01.avi_frame0.jpg,RopeClimbing
v_BoxingPunchingBag_g15_c06.avi_frame9.jpg,BoxingPunchingBag
v_IceDancing_g20_c06.avi_frame9.jpg,IceDancing
v_Punch_g18_c01.avi_frame5.jpg,Punch
v_JugglingBalls_g13_c01.avi_frame4.jpg,JugglingBalls
v_LongJump_g13_c01.avi_frame0.jpg,LongJump
v_Archery_g10_c02.avi_frame3.jpg,Archery
v_Punch_g09_c02.avi_frame1.jpg,Punch
v_IceDancing_g10_c04.avi_frame6.jpg,IceDancing
v_Swing_g16_c03.avi_frame2.jpg,Swing
v_PlayingDhol_g12_c03.avi_frame4.jpg,PlayingDhol
v_StillRings_g21_c05.avi_frame62.jpg,StillRings
v_Shotput_g10_c01.avi_frame1.jpg,Shotput
v_JumpRope_g14_c01.avi_frame3.jpg,JumpRope
v_Drumming_g10_c06.avi_frame7.jpg,Drumming
v_HeadMassage_g24_c03.avi_frame2.jpg,HeadMassage
v_Shotput_g17_c02.avi_frame2.jpg,Shotput
v_BrushingTeeth_g16_c02.avi_frame0.jpg,BrushingTeeth
v_HorseRace_g16_c04.avi_frame9.jpg,HorseRace
v_Typing_g12_c03.avi_frame3.jpg,Typing
v_SumoWrestling_g18_c01.avi_frame2.jpg,SumoWrestling
v_Skiing_g22_c03.avi_frame7.jpg,Skiing
v_JavelinThrow_g18_c01.avi_frame0.jpg,JavelinThrow
v_FrisbeeCatch_g24_c03.avi_frame2.jpg,FrisbeeCatch
v_SkateBoarding_g19_c05.avi_frame1.jpg,SkateBoarding
v_IceDancing_g16_c04.avi_frame0.jpg,IceDancing
v_BreastStroke_g22_c02.avi_frame3.jpg,BreastStroke
v_PlayingCello_g24_c03.avi_frame8.jpg,PlayingCello
v_PlayingDaf_g11_c05.avi_frame9.jpg,PlayingDaf
v_SumoWrestling_g13_c01.avi_frame1.jpg,SumoWrestling
v_Fencing_g17_c01.avi_frame4.jpg,Fencing
v_JumpRope_g25_c03.avi_frame11.jpg,JumpRope
v_TaiChi_g08_c02.avi_frame0.jpg,TaiChi
v_ApplyLipstick_g24_c05.avi_frame7.jpg,ApplyLipstick
v_TrampolineJumping_g22_c02.avi_frame4.jpg,TrampolineJumping
v_PlayingDhol_g14_c01.avi_frame3.jpg,PlayingDhol
v_BandMarching_g08_c06.avi_frame5.jpg,BandMarching
v_MoppingFloor_g16_c01.avi_frame3.jpg,MoppingFloor
v_SoccerPenalty_g12_c02.avi_frame1.jpg,SoccerPenalty
v_PlayingDhol_g15_c01.avi_frame0.jpg,PlayingDhol
v_ShavingBeard_g11_c01.avi_frame5.jpg,ShavingBeard
v_JugglingBalls_g21_c02.avi_frame5.jpg,JugglingBalls
v_PushUps_g12_c02.avi_frame2.jpg,PushUps
v_Diving_g08_c02.avi_frame1.jpg,Diving
v_LongJump_g17_c01.avi_frame0.jpg,LongJump
v_Drumming_g24_c03.avi_frame2.jpg,Drumming
v_WritingOnBoard_g18_c02.avi_frame0.jpg,WritingOnBoard
v_Drumming_g19_c06.avi_frame11.jpg,Drumming
v_Billiards_g21_c03.avi_frame1.jpg,Billiards
v_PlayingDhol_g13_c01.avi_frame2.jpg,PlayingDhol
v_BandMarching_g12_c05.avi_frame0.jpg,BandMarching
v_ApplyLipstick_g23_c01.avi_frame2.jpg,ApplyLipstick
v_BrushingTeeth_g08_c03.avi_frame6.jpg,BrushingTeeth
v_JavelinThrow_g14_c03.avi_frame0.jpg,JavelinThrow
